danRer7	Zv9_scaffold3453	203829
danRer7	Zv9_scaffold3454	91011
danRer7	Zv9_scaffold3455	543129
danRer7	Zv9_scaffold3456	253302
danRer7	Zv9_scaffold3457	101278
danRer7	Zv9_scaffold3458	223119
danRer7	Zv9_scaffold3459	417943
danRer7	Zv9_scaffold3460	146079
danRer7	Zv9_scaffold3461	302948
danRer7	Zv9_scaffold3462	224830
danRer7	Zv9_scaffold3463	664565
danRer7	Zv9_scaffold3464	182716
danRer7	Zv9_scaffold3465	500345
danRer7	Zv9_scaffold3466	152860
danRer7	Zv9_scaffold3467	195956
danRer7	Zv9_scaffold3468	88922
danRer7	Zv9_scaffold3469	118908
danRer7	Zv9_scaffold3470	425063
danRer7	Zv9_scaffold3471	638129
danRer7	Zv9_scaffold3472	162930
danRer7	Zv9_scaffold3473	352305
danRer7	Zv9_scaffold3474	67913
danRer7	Zv9_scaffold3475	162031
danRer7	Zv9_scaffold3476	146794
danRer7	Zv9_scaffold3477	292984
danRer7	Zv9_scaffold3478	135618
danRer7	Zv9_scaffold3479	80581
danRer7	Zv9_scaffold3480	407754
danRer7	Zv9_scaffold3481	164780
danRer7	Zv9_scaffold3482	283152
danRer7	Zv9_scaffold3483	213343
danRer7	Zv9_scaffold3484	148568
danRer7	Zv9_scaffold3485	341688
danRer7	Zv9_scaffold3486	202621
danRer7	Zv9_scaffold3487	231704
danRer7	Zv9_scaffold3488	217805
danRer7	Zv9_scaffold3489	167085
danRer7	Zv9_scaffold3490	197274
danRer7	Zv9_scaffold3491	284732
danRer7	Zv9_scaffold3492	236140
danRer7	Zv9_scaffold3493	171924
danRer7	Zv9_scaffold3494	233193
danRer7	Zv9_scaffold3495	321770
danRer7	Zv9_scaffold3496	52255
danRer7	Zv9_scaffold3497	110876
danRer7	Zv9_scaffold3498	343018
danRer7	Zv9_scaffold3499	44485
danRer7	Zv9_scaffold3500	271256
danRer7	Zv9_scaffold3501	159057
danRer7	Zv9_scaffold3502	51622
danRer7	Zv9_scaffold3503	965101
danRer7	Zv9_scaffold3504	82506
danRer7	Zv9_scaffold3505	159528
danRer7	Zv9_scaffold3506	210931
danRer7	Zv9_scaffold3507	149509
danRer7	Zv9_scaffold3508	36911
danRer7	Zv9_scaffold3509	266362
danRer7	Zv9_scaffold3510	279262
danRer7	Zv9_scaffold3511	156401
danRer7	Zv9_scaffold3512	86846
danRer7	Zv9_scaffold3513	38724
danRer7	Zv9_scaffold3514	225481
danRer7	Zv9_scaffold3515	276154
danRer7	Zv9_scaffold3516	107959
danRer7	Zv9_scaffold3517	225600
danRer7	Zv9_scaffold3518	504410
danRer7	Zv9_scaffold3519	192420
danRer7	Zv9_scaffold3520	436282
danRer7	Zv9_scaffold3521	192579
danRer7	Zv9_scaffold3522	67935
danRer7	Zv9_scaffold3523	49295
danRer7	Zv9_scaffold3524	123466
danRer7	Zv9_scaffold3525	90105
danRer7	Zv9_scaffold3526	185489
danRer7	Zv9_scaffold3527	22119
danRer7	Zv9_scaffold3528	117557
danRer7	Zv9_scaffold3529	212462
danRer7	Zv9_scaffold3530	1544009
danRer7	Zv9_scaffold3531	200274
danRer7	Zv9_scaffold3532	45094
danRer7	Zv9_scaffold3533	242772
danRer7	Zv9_scaffold3534	206488
danRer7	Zv9_scaffold3535	329156
danRer7	Zv9_scaffold3536	368818
danRer7	Zv9_scaffold3537	35552
danRer7	Zv9_scaffold3538	253640
danRer7	Zv9_scaffold3539	276747
danRer7	Zv9_scaffold3540	281342
danRer7	Zv9_scaffold3541	164497
danRer7	Zv9_scaffold3542	165668
danRer7	Zv9_scaffold3543	33292
danRer7	Zv9_scaffold3544	115763
danRer7	Zv9_scaffold3545	351865
danRer7	Zv9_scaffold3546	150703
danRer7	Zv9_scaffold3547	260465
danRer7	Zv9_scaffold3548	301592
danRer7	Zv9_scaffold3549	111234
danRer7	Zv9_scaffold3550	245711
danRer7	Zv9_scaffold3551	306644
danRer7	Zv9_scaffold3552	137468
danRer7	Zv9_scaffold3553	144917
danRer7	Zv9_scaffold3554	332968
danRer7	Zv9_scaffold3555	184511
danRer7	Zv9_scaffold3556	68961
danRer7	Zv9_scaffold3557	91369
danRer7	Zv9_scaffold3558	102840
danRer7	Zv9_scaffold3559	37822
danRer7	Zv9_scaffold3560	190731
danRer7	Zv9_scaffold3561	204746
danRer7	Zv9_scaffold3562	124569
danRer7	Zv9_scaffold3563	295849
danRer7	Zv9_scaffold3564	143554
danRer7	Zv9_NA654	124886
danRer7	Zv9_NA922	29672
danRer7	Zv9_NA772	32349
danRer7	Zv9_NA560	13345
danRer7	Zv9_NA79	108195
danRer7	Zv9_NA799	20004
danRer7	Zv9_NA847	12709
danRer7	Zv9_NA526	14376
danRer7	Zv9_NA404	22375
danRer7	Zv9_NA812	27620
danRer7	Zv9_NA352	10736
danRer7	Zv9_NA506	31336
danRer7	Zv9_NA943	2065
danRer7	Zv9_NA272	41819
danRer7	Zv9_NA419	17824
danRer7	Zv9_NA598	14074
danRer7	Zv9_NA173	51419
danRer7	Zv9_NA222	13102
danRer7	Zv9_NA168	12432
danRer7	Zv9_NA237	32983
danRer7	Zv9_NA82	15371
danRer7	Zv9_NA442	8651
danRer7	Zv9_NA834	51674
danRer7	Zv9_NA285	19619
danRer7	Zv9_NA432	11996
danRer7	Zv9_NA444	24654
danRer7	Zv9_NA540	23261
danRer7	Zv9_NA394	48543
danRer7	Zv9_NA945	3228
danRer7	Zv9_NA206	11987
danRer7	Zv9_NA792	10565
danRer7	Zv9_NA712	2434
danRer7	Zv9_NA719	20460
